Date,Open,High,Low,Close,Adj Close,Volume
9/16/21,202.330002,216.550003,201.149994,206.369995,206.369995,3058200
9/17/21,208.020004,212.490005,200.779999,204.970001,204.970001,3945900
9/20/21,200,202.850006,184.550003,192.199997,192.199997,3941800
9/21/21,199.360001,199.360001,186,189.949997,189.949997,2633800
9/22/21,189.639999,193.5,186.289993,190.139999,190.139999,2256600
9/23/21,192.330002,195.75,190.600006,191.240005,191.240005,1682300
9/24/21,191,191.720001,184.110001,185.160004,185.160004,1685800
9/27/21,185.919998,192.050003,185.869995,189.479996,189.479996,1470100
9/28/21,188,190.809998,178,178.600006,178.600006,1770500
9/29/21,180.089996,184.479996,174.610001,175.919998,175.919998,1899900
9/30/21,175,185.449997,166.789993,175.470001,175.470001,3170700
10/1/21,179.399994,179.490005,172.25,176.910004,176.910004,1551100
10/4/21,175.949997,176.949997,170.770004,171.360001,171.360001,1195700
10/5/21,171.190002,173.169998,166.699997,172.179993,172.179993,1315900
10/6/21,170.059998,172.960007,165.809998,171.070007,171.070007,1200300
10/7/21,172,175.199997,170.539993,172.119995,172.119995,1159300
10/8/21,172.5,175.720001,171.119995,172.679993,172.679993,817000
10/11/21,173,188.490005,173,178.100006,178.100006,2684900
10/12/21,180.5,181.779999,173.800003,175.820007,175.820007,1233700
10/13/21,178.300003,188.210007,176,184.059998,184.059998,1927900
10/14/21,183.759995,190.199997,182.600006,183.830002,183.830002,1673900
10/15/21,184,186.979996,180.880005,183.279999,183.279999,1197700
10/18/21,182.940002,189.869995,182.550003,186.020004,186.020004,1589600
10/19/21,188.990005,192.179993,184.399994,186.789993,186.789993,2070600
10/20/21,186.330002,188,181.979996,184.520004,184.520004,2276900
10/21/21,184.710007,190.699997,180.600006,181.710007,181.710007,2402400
10/22/21,178.100006,179.490005,167.800003,169.800003,169.800003,2800400
10/25/21,169.419998,174.800003,167.259995,173.970001,173.970001,1442800
10/26/21,173.360001,185,172.5,177.839996,177.839996,2176700
10/27/21,180,183.089996,172.330002,173.509995,173.509995,1107000
10/28/21,175.160004,183.139999,175,182.850006,182.850006,1696200
10/29/21,182.809998,185.75,178,183.509995,183.509995,2289600
11/1/21,182.529999,208.570007,182.050003,200.089996,200.089996,4944200
11/2/21,199.350006,211.940002,191.690002,206.990005,206.990005,3882300
11/3/21,214,255.690002,208.25,218.330002,218.330002,11265600
11/4/21,222,228.970001,211.550003,217.839996,217.839996,2908000
11/5/21,220.639999,221,209.009995,213.25,213.25,1809100
11/8/21,212.5,225.039993,212.009995,218.639999,218.639999,2157900
11/9/21,222,223.490005,204.440002,206.600006,206.600006,1845300
11/10/21,202.119995,207.389999,196.5,199.190002,199.190002,1309400
11/11/21,200,208.089996,198.149994,204.320007,204.320007,1079400
11/12/21,202.139999,205.360001,197.880005,202.100006,202.100006,926700
11/15/21,203.860001,211.5,201.690002,209.139999,209.139999,1466400
11/16/21,209.020004,212.570007,203.630005,207.179993,207.179993,1214600
11/17/21,206.300003,217.699997,206,210,210,1352700
11/18/21,210.25,215.139999,207.5,210.119995,210.119995,1004400
11/19/21,209.139999,229.389999,208.25,228.800003,228.800003,3034200
11/22/21,230.460007,249.639999,229.75,247.550003,247.550003,4371400
11/23/21,243.839996,252.199997,212.559998,213.899994,213.899994,3345200
11/24/21,217.25,223.990005,208,211.779999,211.779999,1309400
11/26/21,208.080002,211.729996,199.199997,199.720001,199.720001,1235300
11/29/21,204,207.910004,200.940002,202.009995,202.009995,1108800
11/30/21,200.100006,203.949997,188,196.210007,196.210007,1723900
12/1/21,199.399994,200.110001,177.009995,179.839996,179.839996,2351500
12/2/21,185,187.429993,173.070007,181.559998,181.559998,2087100
12/3/21,181,183.929993,159.050003,172.389999,172.389999,4092900
12/6/21,166,173.339996,163.199997,167.119995,167.119995,2228600
12/7/21,175.179993,181.979996,170.509995,177.809998,177.809998,1972400
12/8/21,176.600006,180.25,171.960007,173.649994,173.649994,2611200
12/9/21,167,172.690002,151,155.759995,155.759995,5084300
12/10/21,159.830002,162.300003,148,159.009995,159.009995,4518700
12/13/21,160.330002,160.889999,135.070007,136.880005,136.880005,5486200
12/14/21,131,150.369995,129.5,147.690002,147.690002,6512100
